t,T_e,T_p
435.85858585858585,308.485177632011,306.5153377026085
435.95959595959596,308.48356466576644,306.51547736941296
436.06060606060606,308.4819531247706,306.5156169121438
436.16161616161617,308.48034300786276,306.5157563309031
436.26262626262627,308.4787343138838,306.5158956257929
436.3636363636364,308.4771270416764,306.5160347969151
436.4646464646465,308.47552119008435,306.51617384437156
436.5656565656566,308.47391675795336,306.5163127682637
436.6666666666667,308.4723137441305,306.516451568693
436.7676767676768,308.47071214746455,306.51659024576094
436.8686868686869,308.46911196680566,306.51672879956857
436.969696969697,308.4675132010057,306.5168672302169
437.07070707070704,308.46591584891803,306.51700553780694
437.17171717171715,308.4643199093976,306.51714372243936
437.27272727272725,308.46272538130086,306.5172817842147
437.37373737373736,308.46113226348587,306.51741972323344
437.47474747474746,308.4595405548121,306.51755753959605
437.57575757575756,308.45795025414094,306.5176952334025
437.67676767676767,308.45636136033494,306.51783280475297
437.77777777777777,308.45477387225833,306.51797025374725
437.8787878787879,308.45318778877714,306.5181075804851
437.979797979798,308.45160310875855,306.51824478506614
438.0808080808081,308.4500198310716,306.5183818675898
438.1818181818182,308.4484379545867,306.51851882815555
438.2828282828283,308.44685747817607,306.5186556668624
438.3838383838384,308.44527840071316,306.5187923838094
438.4848484848485,308.44370072107324,306.5189289790954
438.5858585858586,308.44212443813296,306.51906545281923
438.6868686868687,308.44054955077064,306.51920180507955
438.7878787878788,308.43897605786617,306.51933803597467
438.8888888888889,308.4374039583009,306.51947414560294
438.989898989899,308.4358332509577,306.5196101340626
439.09090909090907,308.4342639347213,306.51974600145167
439.19191919191917,308.4326960084776,306.51988174786794
439.2929292929293,308.4311294711143,306.52001737340925
439.3939393939394,308.42956432152044,306.52015287817323
439.4949494949495,308.42800055858703,306.5202882622572
439.5959595959596,308.42643818120615,306.52042352575864
439.6969696969697,308.4248771882718,306.5205586687746
439.7979797979798,308.4233175786793,306.5206936914022
439.8989898989899,308.42175935132565,306.52082859373814
440.0,308.4202025051094,306.52096337587943
440.1010101010101,308.41864703893054,306.5210980379225
440.2020202020202,308.41709295169085,306.5212325799639
440.3030303030303,308.41554024229345,306.52136700209985
440.4040404040404,308.4139889096432,306.5215013044265
440.5050505050505,308.41243895264626,306.52163548704004
440.6060606060606,308.4108903702106,306.52176955003625
440.7070707070707,308.40934316124566,306.5219034935109
440.80808080808083,308.4077973246624,306.5220373175595
440.90909090909093,308.4062528593734,306.5221710222777
441.010101010101,308.4047097642927,306.5223046077606
441.1111111111111,308.40316803833605,306.52243807410355
441.2121212121212,308.4016276804205,306.5225714214015
441.3131313131313,308.40008868946506,306.5227046497493
441.4141414141414,308.39855106438984,306.5228377592417
441.5151515151515,308.3970148041169,306.52297074997335
441.6161616161616,308.39547990756955,306.5231036220387
441.7171717171717,308.3939463736729,306.52323637553206
441.8181818181818,308.3924142013535,306.52336901054764
441.9191919191919,308.39088338953945,306.52350152717935
442.020202020202,308.3893539371604,306.52363392552115
442.1212121212121,308.3878258431476,306.52376620566685
442.22222222222223,308.38629910643385,306.52389836770993
442.32323232323233,308.3847737259535,306.5240304117439
442.42424242424244,308.3832497006424,306.52416233786215
442.52525252525254,308.38172702943814,306.5242941461577
442.62626262626264,308.3802057112796,306.52442583672365
442.72727272727275,308.3786857451075,306.52455740965297
442.82828282828285,308.37716712986384,306.52468886503823
442.92929292929296,308.37564986449235,306.52482020297214
443.030303030303,308.3741339479383,306.5249514235472
443.1313131313131,308.37261937914855,306.52508252685556
443.2323232323232,308.3711061570714,306.5252135129896
443.3333333333333,308.3695942806567,306.5253443820411
