Roughness;Roughness;
x;y;
[m];[m];
6.6091975e-06;3.8108863e-10;
6.6287513e-06;5.3395073e-10;
6.6483051e-06;5.5234399e-10;
6.667859e-06;4.8473344e-10;
6.6874128e-06;7.1862987e-10;
6.7069667e-06;6.8495824e-10;
6.7265205e-06;2.5242345e-10;
6.7460743e-06;3.2078449e-10;
6.7656282e-06;4.4530807e-10;
6.785182e-06;5.880194e-10;
6.8047359e-06;6.0150491e-10;
6.8242897e-06;7.6366936e-10;
6.8438435e-06;6.8305344e-10;
6.8633974e-06;3.6539246e-10;
6.8829512e-06;2.9019041e-10;
6.9025051e-06;2.7933969e-10;
6.9220589e-06;4.3522315e-10;
6.9416127e-06;2.8235019e-10;
6.9611666e-06;1.0166905e-10;
6.9807204e-06;7.0867509e-11;
7.0002742e-06;3.6234494e-11;
7.0198281e-06;8.1456521e-11;
7.0393819e-06;1.6025629e-10;
7.0589358e-06;1.6089808e-10;
7.0784896e-06;1.4501294e-10;
7.0980434e-06;1.143424e-10;
7.1175973e-06;2.227535e-10;
7.1371511e-06;8.0546507e-11;
7.156705e-06;-6.8191688e-11;
7.1762588e-06;2.5116458e-10;
7.1958126e-06;2.9368396e-10;
7.2153665e-06;2.5289873e-10;
7.2349203e-06;6.9541904e-11;
7.2544741e-06;-5.9737938e-11;
7.274028e-06;-3.1141447e-11;
7.2935818e-06;-2.5418333e-10;
7.3131357e-06;-4.7437053e-10;
7.3326895e-06;-6.3558425e-10;
7.3522433e-06;-6.4548291e-10;
7.3717972e-06;-5.5488757e-10;
7.391351e-06;-4.1573329e-10;
7.4109049e-06;-2.3274463e-10;
7.4304587e-06;-2.7533697e-10;
7.4500125e-06;-3.1204406e-10;
7.4695664e-06;-3.8275882e-10;
7.4891202e-06;-7.2462837e-10;
7.5086741e-06;-1.0115466e-09;
7.5282279e-06;-1.1940491e-09;
7.5477817e-06;-1.2020425e-09;
7.5673356e-06;-1.2320479e-09;
7.5868894e-06;-1.0945769e-09;
7.6064432e-06;-1.1329291e-09;
7.6259971e-06;-1.1300184e-09;
7.6455509e-06;-1.2254815e-09;
7.6651048e-06;-9.7774317e-10;
7.6846586e-06;-8.1088708e-10;
7.7042124e-06;-8.0985334e-10;
7.7237663e-06;-5.2261638e-10;
7.7433201e-06;-2.5672571e-10;
7.762874e-06;-6.1008105e-11;
7.7824278e-06;2.3762394e-10;
7.8019816e-06;6.5323813e-10;
7.8215355e-06;8.8739971e-10;
7.8410893e-06;7.2458808e-10;
7.8606431e-06;6.8511912e-10;
7.880197e-06;7.644005e-10;
7.8997508e-06;5.4208331e-10;
7.9193047e-06;4.9603787e-10;
7.9388585e-06;5.865688e-10;
7.9584123e-06;8.0983424e-10;
7.9779662e-06;5.5021753e-10;
7.99752e-06;3.4939853e-10;
8.0170739e-06;3.7924894e-10;
8.0366277e-06;5.6655784e-10;
8.0561815e-06;7.1072814e-10;
8.0757354e-06;6.5106542e-10;
8.0952892e-06;6.8789983e-10;
8.1148431e-06;6.9135864e-10;
8.1343969e-06;5.5579296e-10;
8.1539507e-06;3.9241591e-10;
8.1735046e-06;1.7070134e-10;
8.1930584e-06;2.2164826e-12;
8.2126122e-06;3.2025664e-12;
8.2321661e-06;2.143241e-11;
8.2517199e-06;-5.4738456e-11;
8.2712738e-06;7.9037832e-11;
8.2908276e-06;2.4429707e-10;
8.3103814e-06;4.0443521e-10;
8.3299353e-06;-1.1781371e-10;
8.3494891e-06;-2.7476779e-10;
8.369043e-06;-2.8126084e-10;
8.3885968e-06;-9.1904037e-11;
8.4081506e-06;1.8818751e-10;
8.4277045e-06;3.2273621e-10;
8.4472583e-06;2.2385709e-10;
8.4668121e-06;2.3806504e-10;
8.486366e-06;3.8986619e-10;
8.5059198e-06;4.1466988e-10;
8.5254737e-06;3.6379764e-10;
8.5450275e-06;3.9139621e-10;
8.5645813e-06;2.9640148e-10;
8.5841352e-06;3.1820631e-10;
8.603689e-06;3.4770839e-10;
8.6232429e-06;4.5386907e-10;
8.6427967e-06;1.9731634e-10;
8.6623505e-06;4.4688278e-11;
8.6819044e-06;-8.3279907e-11;
8.7014582e-06;-1.7399083e-10;
8.721012e-06;-2.1376235e-10;
8.7405659e-06;-1.2735903e-10;
8.7601197e-06;-6.3949596e-11;
8.7796736e-06;3.7127322e-12;
8.7992274e-06;2.4396952e-11;
8.8187812e-06;1.6757982e-10;
8.8383351e-06;1.6109506e-10;
8.8578889e-06;1.1788291e-10;
8.8774428e-06;1.4561054e-10;
8.8969966e-06;1.5977311e-10;
8.9165504e-06;-6.5625595e-11;
8.9361043e-06;-2.2015199e-10;
8.9556581e-06;-3.250888e-10;
8.975212e-06;-3.8858631e-10;
8.9947658e-06;-4.7927124e-10;
9.0143196e-06;-4.7914215e-10;
9.0338735e-06;-3.4814455e-10;
9.0534273e-06;-4.187174e-10;
9.0729811e-06;-4.5754224e-10;
9.092535e-06;-6.501861e-10;
9.1120888e-06;-6.3428323e-10;
9.1316427e-06;-3.1316853e-10;
9.1511965e-06;-3.8986137e-10;
9.1707503e-06;-7.2910545e-10;
