Roughness;Roughness;
x;y;
[m];[m];
1.1101168e-05;6.7216442e-10;
1.1140257e-05;4.6180851e-10;
1.1179346e-05;3.2853554e-10;
1.1218434e-05;2.3631895e-10;
1.1257523e-05;2.3693913e-10;
1.1296612e-05;1.1693721e-10;
1.13357e-05;5.6592315e-11;
1.1374789e-05;8.4647863e-11;
1.1413877e-05;5.5687944e-11;
1.1452966e-05;4.6139727e-11;
1.1492055e-05;1.3020761e-10;
1.1531143e-05;2.5600828e-10;
1.1570232e-05;1.2769656e-10;
1.1609321e-05;8.1755143e-11;
1.1648409e-05;8.3330358e-11;
1.1687498e-05;1.2275953e-10;
1.1726586e-05;1.4201262e-10;
1.1765675e-05;-9.9527269e-14;
1.1804764e-05;-1.5382851e-11;
1.1843852e-05;-1.1017728e-10;
1.1882941e-05;-1.2041423e-10;
1.192203e-05;-1.8703943e-10;
1.1961118e-05;-3.6762079e-10;
1.2000207e-05;-3.5830345e-10;
1.2039295e-05;-4.4341506e-10;
1.2078384e-05;-3.6121123e-10;
1.2117473e-05;-4.4439281e-10;
1.2156561e-05;-4.8726379e-10;
1.219565e-05;-4.7392504e-10;
1.2234739e-05;-5.4691137e-10;
1.2273827e-05;-5.1427527e-10;
1.2312916e-05;-5.2932572e-10;
1.2352004e-05;-6.4982247e-10;
1.2391093e-05;-6.5578939e-10;
1.2430182e-05;-6.5350319e-10;
1.246927e-05;-7.9070956e-10;
1.2508359e-05;-8.9628178e-10;
1.2547447e-05;-8.8901767e-10;
1.2586536e-05;-7.8954606e-10;
1.2625625e-05;-7.1855657e-10;
1.2664713e-05;-6.963245e-10;
1.2703802e-05;-7.1454049e-10;
1.2742891e-05;-7.8742678e-10;
1.2781979e-05;-7.8015484e-10;
1.2821068e-05;-7.2628951e-10;
1.2860156e-05;-7.1875352e-10;
1.2899245e-05;-6.5047271e-10;
1.2938334e-05;-5.3651347e-10;
1.2977422e-05;-5.2375461e-10;
1.3016511e-05;-3.4645459e-10;
1.30556e-05;-2.0388979e-10;
1.3094688e-05;-6.9949684e-11;
1.3133777e-05;-2.7471257e-11;
1.3172865e-05;4.1645209e-10;
