step_center,step_sigma,slow_amplitude,slow_decay,fast_amplitude,fast_decay,filename,label,temperature
-6.995995684578937e-14,7.935152535054613e-14,-0.0006674287831955894,2.6460312126100773,-0.00007155883069920321,0.07264395822953462,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake6_30AVG_1Windows_12Harm_001,flake6,350
-6.858731605586152e-14,7.618405906129056e-14,-0.0006265712438189297,1.8388818460134604,-0.00009593904627536176,0.08480687426262401,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake2_30AVG_1Windows_12Harm_001,flake2,550
-1.3989360478206257e-14,1.623590151211829e-14,-0.00047127424857862366,2.30703483839997,-0.00012426931608544578,0.1320577495102968,Mattias_FM308-SRO_60degSTAMP_750deg1hr_flakeaftersonication3_30AVG_1Windows_12Harm_001,flakeaftersonication3,750
-3.249027343011071e-14,7.093325926632587e-14,-0.0006774768268016373,2.3731571596740086,-0.00010167320578524652,0.01916721625859963,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake5_30AVG_1Windows_12Harm_001,flake5,350
-2.63867818739852e-14,4.020062061016461e-14,-0.0006607230213759863,2.6422407277088396,-0.00011016126015128691,0.04252172762008488,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake16_30AVG_1Windows_12Harm_001,flake16,150
-1.9653473118453103e-14,3.753386490501498e-14,-0.000666090997867741,2.1001101270740414,-0.00011714721051880872,0.012052388715104279,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake16_30AVG_1Windows_12Harm_001,flake16,350
-2.394556024556405e-14,3.165134820903859e-14,-0.0006842410281269196,2.6812022923197087,-0.00012571505409297856,0.06128174450420776,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake6_30AVG_1Windows_12Harm_001,flake6,60
-2.666926128542573e-14,3.977929097231936e-14,-0.0005613656580134574,1.7714323035126833,-0.00007857528478361075,0.11782041992950898,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake18_30AVG_1Windows_12Harm_001,flake18,550
-2.4802040366346037e-14,3.2810421046747255e-14,-0.0006270446101552807,3.1119866509778022,-0.00014153538403149923,0.07516245132492982,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake5_30AVG_1Windows_12Harm_001,flake5,60
-2.5118173988276478e-14,3.577138585342254e-14,-0.0005611655241573033,1.9407856186216728,-0.00009313186481740843,0.11658640670146148,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake16_30AVG_1Windows_12Harm_001,flake16,550
-9.993479998839958e-14,4.8387960305262826e-14,-0.0000291589997694075,0.5111477889275635,-0.00005854433431906614,0.07640247906537345,Mattias_FM308-SRO_60degSTAMP_750deg1hr_spotty3_50AVG_1Windows_12Harm_001,spotty3,750
-1.1582003968170162e-14,1.2830847495592935e-14,-0.0005339925139331569,1.742865393048047,-8.506194255630817e-7,0.035791437008503735,Mattias_FM308-SRO_60degSTAMP_750deg1hr_doubleflakeaftersonication1_30AVG_1Windows_12Harm_001,doubleflakeaftersonication1,750
-2.5490633618713964e-14,3.7189695767381184e-14,-0.0005714265384693107,2.220883082381116,-0.00006916188214312058,0.10274360085924528,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake20_30AVG_1Windows_12Harm_001,flake20,550
-2.282916729398475e-14,3.134770221180361e-14,-0.00040644058269201366,4.527407793397008,-0.00021187820693668868,0.2473638481267455,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake8_30AVG_1Windows_12Harm_001,flake8,550
-3.125398240401911e-14,4.5515813340557546e-14,-0.0006916122910674005,2.4270936290933856,-0.00010943817284747581,0.08650840854598663,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake17_30AVG_1Windows_12Harm_001,flake17,60
-1.5745935126166818e-14,2.6382784845679906e-14,-0.0007204788783852223,3.793884316063903,-0.00014469340089817706,0.0143516060129949,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake8_30AVG_1Windows_12Harm_001,flake8,350
-9.261290641942804e-15,1.1853296122410484e-14,-0.0004328261213295548,5.734146262034591,-0.00003479140654683022,0.020723098283841335,Mattias_FM308-SRO_60degSTAMP_550deg1hr_doubleflake2_30AVG_1Windows_12Harm_001,doubleflake2,550
-1.1927122020271157e-14,2.2819524048145467e-14,-0.00048307010594328403,5.607645513449632,-0.00015591362645039908,0.01392090263162693,Mattias_FM308-SRO_60degSTAMP_350deg1hr_doubleflake4_30AVG_1Windows_12Harm_001,doubleflake4,350
