variable,value,stderr,label,temperature
osc2_frequency,79.2976760985074,0.05595764531333434,flake17,60
osc2_decay,0.044250147968581344,0.0007171055864071903,flake17,60
osc2_phase,0.11582205627854276,0.011221437018203743,flake17,60
osc2_x0,-0.001300016059172427,0.0,flake17,60
osc32_ratio,0.10687844036808657,0.027332865306806967,flake17,60
osc3_amplitude,0.00001861646391294571,4.802284244242779e-6,flake17,60
osc3_frequency,237.89302829552219,0.16787293591442629,flake17,60
osc3_decay,0.010795630082016222,0.003507297228551427,flake17,60
osc3_phase,0.11582205627854276,0.011221437021095368,flake17,60
osc3_x0,-0.001300016059172427,0.0,flake17,60
exp_fast_amplitude,-0.00010707512234676592,1.7026021333189384e-6,flake17,60
exp_fast_decay,0.10993286471069229,0.003526358923564311,flake17,60
exp_fast_x0,-0.001300016059172427,0.0,flake17,60
exp_slow_amplitude,-0.0006834122682632627,1.92374741686731e-6,flake17,60
exp_slow_decay,2.5513277616615806,0.031210526185120144,flake17,60
exp_slow_x0,-0.001300016059172427,0.0,flake17,60
step_x0,-0.001300016059172427,0.0,flake1,60
step_sigma,0.0006,0.0,flake1,60
osc1_amplitude,0.000010130600673627516,6.070389548308757e-7,flake1,60
osc1_frequency,47.3,0.0,flake1,60
osc1_decay,0.41082338741291663,0.0413594663119358,flake1,60
osc1_phase,-1.5091958239367937,0.039423055741228376,flake1,60
osc1_x0,-0.001300016059172427,0.0,flake1,60
osc2_amplitude,0.00017876253023684337,1.7955391268510638e-6,flake1,60
osc2_frequency,79.44009711650263,0.042415299112440685,flake1,60
osc2_decay,0.04828351940379607,0.0006478271029749166,flake1,60
osc2_phase,0.2735445387868877,0.009248175073022585,flake1,60
osc2_x0,-0.001300016059172427,0.0,flake1,60
osc32_ratio,0.14015529973626964,0.022597612310046117,flake1,60
osc3_amplitude,0.000025054516006958748,4.078061021138611e-6,flake1,60
osc3_frequency,238.3202913495079,0.1272458974279066,flake1,60
osc3_decay,0.011260678311747497,0.0023388086445947395,flake1,60
osc3_phase,0.2735445387868877,0.009248175072321316,flake1,60
osc3_x0,-0.001300016059172427,0.0,flake1,60
